NNID;DATUM;OBA;NAME;AGS;ARS;RS;HOEHE;HOEHE_GER;EWZ;EWZ_GER;GEWK;GEMTEIL;VIRTUELL;GEMEINDE;VERWGEM;RECHTS;HOCH
DEBKGGND0000195N;30.10.2020;AX_Gemeinde;Isenburg;7138031;71385003031;71385003031;;;616;;;Nein;Nein;Isenburg;Dierdorf;399842.64939174766;5592512.8257640945
DEBKGGND0000195P;30.10.2020;AX_Gemeinde;Heiligenstedten;1061034;10615138034;10615138034;;;1487;;;Nein;Nein;Heiligenstedten;Itzehoe-Land;530726.9613812979;5975862.830846275
DEBKGGND0000195R;30.10.2020;AX_Gemeinde;Grainau;9180118;91800118118;91800118118;;;3441;;;Nein;Nein;Grainau;Grainau;652729.4719340473;5259479.936868422
DEBKGGND0000195T;30.10.2020;AX_Gemeinde;Mechernich;5366028;53660028028;53660028028;;;27714;;;Nein;Nein;Mechernich;Mechernich;333916.4777473563;5606705.756511862
DEBKGGND0000195U;30.10.2020;AX_Gemeinde;Bîhlen;14729040;147290040040;147290040040;;;6651;;;Nein;Nein;Bîhlen;Bîhlen;736614.1345150976;5677831.933314584
DEBKGGND0000195W;30.10.2020;AX_Gemeinde;Hille;5770012;57700012012;57700012012;;;15374;;;Nein;Nein;Hille;Hille;482524.3063593817;5798574.1552723395
DEBKGGND0000195X;30.10.2020;AX_Gemeinde;Neukirchen vorm Wald;9275135;92750135135;92750135135;;;2901;;;Nein;Nein;Neukirchen vorm Wald;Neukirchen vorm Wald;822409.6179489128;5401509.396709894
DEBKGGND0000195Y;30.10.2020;AX_Gemeinde;Hahn bei Marienberg;7143231;71435001231;71435001231;;;477;;;Nein;Nein;Hahn bei Marienberg;Bad Marienberg (Westerwald);425123.7128813942;5609508.44244494
DEBKGGND0000195Z;30.10.2020;AX_Gemeinde;Tielenhemme;1051117;10515169117;10515169117;;;161;;;Nein;Nein;Tielenhemme;Kirchspielslandgemeinden Eider;525941.816125734;6014465.936802674
DEBKGGND00001960;30.10.2020;AX_Gemeinde;Schankweiler;7232114;72325005114;72325005114;;;185;;;Nein;Nein;Schankweiler;SÅdeifel;312058.7637686484;5530593.493347071
DEBKGGND00001961;30.10.2020;AX_Gemeinde;Dîbritz;16075016;160755005016;160755005016;;;181;;;Nein;Nein;Dîbritz;Oppurg;686533.0240852084;5619112.501406563
DEBKGGND00001962;30.10.2020;AX_Gemeinde;Nehren;8416026;84165001026;84165001026;;;4376;;;Nein;Nein;Nehren;Steinlach-Wiesaz;505140.58606543386;5364238.677906843
DEBKGGND00001965;30.10.2020;AX_Gemeinde;Bergneustadt;5374004;53740004004;53740004004;;;18677;;;Nein;Nein;Bergneustadt;Bergneustadt;405199.2371729831;5653042.646520705
DEBKGGND00001967;30.10.2020;AX_Gemeinde;Espenau;6633007;66330007007;66330007007;;;5158;;;Nein;Nein;Espenau;Espenau;532874.7026929954;5694407.101670739
DEBKGGND00001968;30.10.2020;AX_Gemeinde;Adlkofen;9274111;92740111111;92740111111;;;4407;;;Nein;Nein;Adlkofen;Adlkofen;740821.5146354698;5382151.872958002
DEBKGGND00001969;30.10.2020;AX_Gemeinde;Wolframs-Eschenbach;9571229;95715538229;95715538229;;;3119;;;Nein;Nein;Wolframs-Eschenbach;Wolframs-Eschenbach;625472.1010110921;5454022.009255328
DEBKGGND0000196A;30.10.2020;AX_Gemeinde;Sponheim;7133101;71335006101;71335006101;;;750;;;Nein;Nein;Sponheim;RÅdesheim;408395.1714279203;5522042.295117249
DEBKGGND0000196C;30.10.2020;AX_Gemeinde;HÅlben;8415039;84155005039;84155005039;;;2991;;;Nein;Nein;HÅlben;Bad Urach;530150.4930107723;5374179.622758971
DEBKGGND0000196D;30.10.2020;AX_Gemeinde;Hamfelde;1062026;10625270026;10625270026;;;513;;;Nein;Nein;Hamfelde;Trittau;595892.4199711661;5940528.826590974
DEBKGGND0000196E;30.10.2020;AX_Gemeinde;Owingen;8435047;84355007047;84355007047;;;4489;;;Nein;Nein;Owingen;öberlingen;513148.87950136623;5295290.266501021
DEBKGGND0000196F;30.10.2020;AX_Gemeinde;Heidekamp;1062031;10625244031;10625244031;;;460;;;Nein;Nein;Heidekamp;Nordstormarn;598730.8490383531;5968356.644288959
DEBKGGND0000196G;30.10.2020;AX_Gemeinde;Oelsnitz/Vogtl.;14523300;145235122300;145235122300;;;10143;;;Nein;Nein;Oelsnitz/Vogtl.;Oelsnitz/Vogtl.;725547.1188016764;5589823.589915919
DEBKGGND0000196H;30.10.2020;AX_Gemeinde;Hargesheim;7133040;71335006040;71335006040;;;2911;;;Nein;Nein;Hargesheim;RÅdesheim;415724.0968899435;5524039.265975103
DEBKGGND0000196J;30.10.2020;AX_Gemeinde;Ochtersum;3462012;34625402012;34625402012;;;882;;;Nein;Nein;Ochtersum;Holtriem;402409.8569119591;5940579.954929579
