Weidenthal;319.0601;2029.965
Weidenberg;3003.963;2644.813
Weidenbach;3533.839;785.5391
Weidenau Vorbf.;371.0107;3679.719
Weiden (Oberpf);3324.224;2353.652
Weida Mitte;3203.644;3580.625
Weida Altstadt;3204.581;3571.082
Weida;3207.271;3590.152
Weickersgrüben;1607.229;2793.516
Weickersdorf (Sachs);4654.397;4035.266
Weichering;2762.818;1276.039
Weibhausen;3808.249;401.8047
Wehrheim;739.7041;3002.68
Wehretal-Reichensachsen;1738.149;3958.078
Wehrendorf;585.4043;5265.543
Wehrden (Weser);1313.465;4574.563
Wehr-Brennet;228.8628;-10.88672
Wehr (Mosel);-846.231;2244.898
Wehdel;919.8047;6579.039
Wegenstedt;2551.276;5350.734
Wegeleben;2541.021;4777.875
Wegberg;-850.4226;3980.988
Wega;1173.781;3927.059
Weferlingen Zuckerfabrik;2448.143;5257.172
Weferlingen;2446.514;5265.219
Wefensleben;2522.571;5115.145
Weeze;-889.9507;4514.969
Weetzen;1481.936;5229.332
Weesenstein;4465.063;3827.383
Weertzen;1303.222;6348.75
Weener;-60.01831;6203.844
Wedel (Holst);1516.199;6659.355
Weddel (Braunschw);2159.438;5209.039
Weckesheim;938.4736;3072.133
Wechselburg;3699.694;3852.535
Webau;3191.984;4028.527
Watzenborn-Steinberg;853.6289;3279.184
Watzelsteg;3889.44;1863.688
Wattenscheid-Höntrop;-234.2363;4311.641
Wattenscheid;-242.249;4326.188
Wasungen;2009.538;3418.055
Waßmannsdorf;4086.73;5399.785
Wasserzell (bei Eichstätt);2637.787;1443.543
Wassertrüdingen;2224.054;1621.648
Wasserthaleben;2367.71;4088.84
Wasserliesch;-726.4075;2376.23
Wasserburg (Inn) Bahnhof;3422.041;566.5977
Wasserburg (Günz);1989.8;941.418
Wasserburg (Bodensee);1530.342;-25.29688
Wasseralfingen;1859.26;1409.152
Wasenweiler;69.04565;508.8125
Wasbek;1637.498;7209.203
Warthausen;1644.48;591.9297
Wartha (Werra);1898.732;3799.973
Warstein;601.6147;4291.188
Warnow (Meckl);2940.221;6924.32
Warnitz (Uckerm);4306.858;6322.789
Warngau;3076.802;299.5039
Warnemünde Werft;3063.643;7354.5
Warnemünde;3066.292;7362.137
Warmsen;948.7427;5401.984
Warmbad;3920.263;3493.902
Warlitz;2477.572;6444.918
Warenshof;3466.232;6660.824
Warendorf-Einen-Müssingen;287.4551;4859.449
Warendorf;350.1948;4845.832
Waren (Müritz);3488.438;6653.504
Wardböhmen;1670.417;5850.832
Warburg (Westf);1164.033;4331.68
Wanzleben (bei Magdeburg);2729.587;4994.832
Wansleben am See;2957.679;4334.457
Wannweil;1160.978;1017.199
Wanne-Eickel Hbf;-219.6448;4391.648
Wanne Westhafen;-221.8845;4411.766
Wanne Unser Fritz;-243.5989;4403.004
Wanne Osthafen;-218.3425;4408.883
Wanne Herzogstraße;-209.0063;4369.355
Wanne Brennerstraße;-209.3726;4384.285
Wangerooge Westen;293.021;6892.309
Wangerooge Westanleger;302.5928;6877.758
Wangerooge;323.5815;6890.832
Wangen (Unstrut);2825.086;4117.547
Wangen (Allgäu);1671.925;106.4102
Wandlitzsee;4068.236;5830.695
Wandlitz;4062.929;5817.313
Wandersleben;2351.574;3696.703
Walthersdorf (Erzgeb);3857.179;3354.457
Waltershausen-Schnepfenthal;2158.005;3667.648
Waltershausen;2149.118;3684.375
Walsum;-534.4717;4404.789
Walsrode;1453.607;5861.063
Walsleben;3520.116;6013.797
Walschleben;2419.426;3878.547
Walporzheim;-311.4731;3282.473
Walpertskirchen;3254.679;782.9219
Walpertshofen Mühlenstraße;-460.9038;1945.297
Walpertshofen Mitte;-464.3533;1939.43
